model,dataset,mIoU,pIoU,Dice,ARI,Coverage,n_ok,n_total
sam3_vanilla,CAID,0.9006,0.9006,0.9340,0.8169,0.5075,3091,3091
sam3_vanilla,RWTD,0.7363,0.7363,0.7849,0.7481,0.1335,253,253
sam3_vanilla,STLD,0.7919,0.7919,0.8385,0.7875,0.0314,200,200
sam3_vanilla,ADE20k_Detecture,0.3186,0.3186,0.3932,0.3218,0.2936,212,212
grounded_sam3,CAID,0.6217,0.6217,0.6752,0.4043,0.1954,3091,3091
grounded_sam3,RWTD,0.8178,0.8178,0.8674,0.7151,0.0177,253,253
grounded_sam3,STLD,0.7631,0.7631,0.8075,0.6305,0.0026,200,200
grounded_sam3,ADE20k_Detecture,0.3433,0.3433,0.4077,0.4820,0.3263,212,212
sa2va,CAID,0.7986,0.7986,0.8353,0.7151,0.5379,3091,3091
sa2va,RWTD,0.6966,0.6966,0.7414,0.6861,0.1575,253,253
sa2va,STLD,0.7377,0.7377,0.7688,0.7267,0.0778,200,200
sa2va,ADE20k_Detecture,0.6308,0.6308,0.6889,0.6982,0.1757,212,212
qwen2sam_zs,CAID,0.8661,0.8661,0.9023,0.7730,0.4844,3091,3091
qwen2sam_zs,RWTD,0.8977,0.8977,0.9325,0.8462,0.0549,253,253
qwen2sam_zs,STLD,0.8781,0.8781,0.9050,0.8511,0.0590,200,200
qwen2sam_zs,ADE20k_Detecture,0.6946,0.6946,0.7648,0.7202,0.0958,212,212
